restaurant_name,city,cuisines,average_cost_for_two,aggregate_rating,votes
Days Of The Raj,New Delhi,"North Indian, Seafood, Continental",1500,3.4,45
Dilli Ka Dhaba,New Delhi,"South Indian, North Indian",500,2.6,11
Govardhan,New Delhi,"South Indian, North Indian, Chinese",500,3.4,238
Mezbaan Grills,New Delhi,Mughlai,400,3.1,8
Say Cheese,New Delhi,Fast Food,400,2.7,64
Southy,New Delhi,South Indian,450,2.6,113
Monosoz,New Delhi,Pizza,300,3.7,66
Waves,New Delhi,"North Indian, Chinese",1500,3.5,141
Delhi Darbar,New Delhi,"Chinese, North Indian",500,2.2,77
Chateau,New Delhi,"Mediterranean, Italian",1600,4.0,40
Nariyal Cafe,New Delhi,"Continental, Seafood, Goan, Andhra, Kerala, Thai",1200,4.2,46
Rustom'S Parsi Bhonu,New Delhi,Parsi,1500,4.2,665
Barshala,New Delhi,Finger Food,600,3.2,31
Chawla'Sњ_,New Delhi,"North Indian, Mughlai",800,3.4,32
Domino'S Pizza,New Delhi,"Pizza, Fast Food",700,2.8,83
Sultanat,New Delhi,"North Indian, Chinese, Continental",1000,3.7,288
Bella Italia,New Delhi,"Fast Food, Italian, Pizza",550,3.2,33
Clever Fox Cafe,New Delhi,"North Indian, Continental, Chinese",900,3.2,26
365 Naturals,New Delhi,"Continental, North Indian, Fast Food, Street Food, South Indian",600,0.0,2
Tpot,New Delhi,Cafe,800,0.0,0
4 On 44 Restaurant & Bar,New Delhi,"North Indian, Chinese",1000,2.6,49
Rambhog,New Delhi,"Street Food, Mithai",200,3.3,13
Selfie Lounge Restro & Bar,New Delhi,"North Indian, Chinese",1500,3.2,64
Btw,New Delhi,"Street Food, South Indian, Mithai",400,3.4,167
Chilli Pepper,New Delhi,"North Indian, Chinese",900,3.3,99
Pizza Hut,New Delhi,"Italian, Pizza, Fast Food",1000,2.6,125
Puri Bakers,New Delhi,"Bakery, Fast Food",300,3.7,124
Jaiveer Naan & Chaap,New Delhi,"North Indian, Fast Food",500,2.2,79
Aggarwal'S Sweets Paradise,New Delhi,"Mithai, North Indian, South Indian, Street Food",400,2.9,8
Bikaner Sweets,New Delhi,"Mithai, Street Food",200,3.3,20
Cafe Coffee Day,New Delhi,Cafe,450,3.2,23
Chandra Sweets,New Delhi,"Mithai, North Indian, South Indian, Street Food",400,3.0,7
Chhotu Mashhoor Kathi Roll,New Delhi,Fast Food,150,2.7,11
Green Chick Chop,New Delhi,"Raw Meats, North Indian, Fast Food",350,3.2,35
Lazeez Restaurant,New Delhi,"Chinese, North Indian, Italian, Mughlai",600,3.0,11
Madhuvan Chinese Fast Food,New Delhi,Chinese,300,2.5,32
Mr Wong,New Delhi,"Chinese, Thai",800,3.2,10
Mughlai Shahi Rasoi,New Delhi,"North Indian, Mughlai",600,3.2,23
Mumbai Central Street Food,New Delhi,"Street Food, Fast Food, Beverages",400,3.1,7
Neha'S Treat,New Delhi,Chinese,450,2.9,42
New Bakers Shoppee,New Delhi,"Bakery, Fast Food",200,3.2,21
Pant  Ice Cream Parlour,New Delhi,"Desserts, Ice Cream",150,3.3,16
Pm 2 Am Food Bank,New Delhi,North Indian,500,2.5,37
Punjabi Chaap Corner,New Delhi,North Indian,250,2.9,4
Sartaj Food Corner,New Delhi,"North Indian, South Indian, Chinese",500,2.8,7
The Sugar Therapy,New Delhi,"Bakery, Desserts",450,3.4,22
Biryani Binge,New Delhi,"North Indian, Biryani",600,3.9,97
City Of Joy,New Delhi,Bengali,800,3.9,452
Letz Roll,New Delhi,"Ice Cream, Desserts",250,3.6,14
Nukkad,New Delhi,"Chinese, Mughlai, North Indian",650,3.6,82
#Instafreeze,New Delhi,Ice Cream,300,0.0,2
Aahar Meat And Chicken Shop,New Delhi,"Raw Meats, Fast Food",400,0.0,0
Food Cafe,New Delhi,"South Indian, North Indian, Chinese",350,0.0,0
Lazeez Restaurant,New Delhi,"Chinese, North Indian, Mughlai, Pizza",500,0.0,1
Lemon Chick,New Delhi,North Indian,500,0.0,2
Purani Dilli Foods,New Delhi,Mughlai,600,0.0,1
Tandoori Kebab,New Delhi,North Indian,400,0.0,0
Shree Rathnam,New Delhi,"South Indian, North Indian, Chinese",800,2.4,31
Alaturka,New Delhi,Turkish,600,2.5,100
Amici Gourmet Pizza,New Delhi,"Pizza, Italian",800,3.1,230
Burger King,New Delhi,"Burger, Fast Food",500,3.2,458
Kylin Express,New Delhi,"Asian, Chinese",700,2.6,176
Big Fat Sandwich,New Delhi,American,800,3.5,232
Fashion Tv Cafe,New Delhi,"Continental, Chinese, North Indian",2200,3.6,27
Kylin Skybar,New Delhi,"Chinese, Japanese, Thai, Malaysian, Vietnamese, Asian",2200,3.6,210
Lemon Drops,New Delhi,"North Indian, South Indian",500,3.9,44
Punjabi By Nature Express,New Delhi,"North Indian, Street Food, Mughlai",600,3.5,206
Red Mango,New Delhi,"Cafe, Desserts",700,3.7,185
Starbucks,New Delhi,Cafe,700,3.7,256
Peninsular Kitchen,New Delhi,"Seafood, South Indian, Andhra, Hyderabadi, Goan",1500,4.2,336
Mithapur,New Delhi,"Chinese, Fast Food, North Indian, South Indian",450,3.4,280
Diggin,New Delhi,"Italian, Continental, Cafe",1400,4.2,2131
Aggarwal Sweet India,New Delhi,"Fast Food, North Indian, Chinese, Desserts",200,2.8,13
Banzara'S,New Delhi,"Chinese, Fast Food",400,3.1,38
Bobby Tikki Wala,New Delhi,Street Food,150,2.8,69
Chennai Junction,New Delhi,South Indian,500,3.3,11
Chicken Bite,New Delhi,Fast Food,200,3.1,6
Chocolate Dreams,New Delhi,"Bakery, Desserts",400,3.0,4
Dial N Dine,New Delhi,"North Indian, Chinese",650,3.4,80
Fresh N Refresh,New Delhi,Fast Food,500,3.4,24
Garden Hut,New Delhi,"Chinese, Fast Food",250,3.1,13
Giani,New Delhi,"Ice Cream, Desserts",400,3.3,12
Jugnu Gaming Zone And Cafe,New Delhi,"Cafe, North Indian, Fast Food",600,2.9,4
Keventer'S South Indian & Chinese Food,New Delhi,"Chinese, South Indian",200,2.8,9
Kts,New Delhi,Fast Food,250,3.3,18
Mandarin,New Delhi,Chinese,600,2.8,14
Penguin Bakers & Shakers,New Delhi,Fast Food,400,2.8,9
Rollmates,New Delhi,"Fast Food, North Indian, Chinese",200,3.2,16
Tandoori Nights,New Delhi,"Mughlai, North Indian",650,3.0,5
Burger Dominion,New Delhi,Fast Food,500,3.6,251
Cafe Gainz,New Delhi,Healthy Food,350,3.5,42
Chaskaa,New Delhi,"Chinese, North Indian, Italian",650,3.5,220
Fabulous Cake Bites,New Delhi,"Bakery, Desserts, Fast Food, Pizza, Burger, Continental",400,3.6,34
Hangout - A House Of Kathis,New Delhi,Street Food,250,3.7,103
Malais By Anands,New Delhi,"North Indian, Chinese, South Indian, Fast Food",300,3.7,46
Panchwati Rasoi,New Delhi,"North Indian, Chinese",250,3.8,62
Sprinkles Cup & Cake,New Delhi,"Bakery, Desserts",300,3.6,42
Target Ice Cream & Bakers,New Delhi,"Desserts, Bakery, Pizza, Burger, Continental",350,3.6,58
The Sweeet Jar,New Delhi,"Cafe, Bakery",1000,3.9,106
Amar Bakery,New Delhi,"Bakery, Desserts, Fast Food, Mithai",500,0.0,0
Cafe Brewbug,New Delhi,"Fast Food, Beverages",350,0.0,1
Chilll House Kafe,New Delhi,Cafe,500,0.0,1
Cookie Shookie,New Delhi,Bakery,100,0.0,0
Fabulous Cake,New Delhi,Bakery,300,0.0,0
Jai Maa Shaarde Samose Wala,New Delhi,Street Food,100,0.0,0
Madaan Confectionery,New Delhi,Bakery,150,0.0,0
Magic Masala,New Delhi,"Chinese, South Indian, North Indian",500,0.0,1
Sikka Chinese Fast Food,New Delhi,"Chinese, Fast Food",300,0.0,0
Teedo'S Cake Inn,New Delhi,"Cafe, Bakery",500,0.0,0
Thalaiva Cafe,New Delhi,"South Indian, Chinese",400,0.0,2
The Cake Affairs,New Delhi,"Bakery, Desserts",500,0.0,0
Tulsi Ram Chinese Hut,New Delhi,Chinese,200,0.0,0
V. K. Pasta,New Delhi,"Italian, Fast Food",600,0.0,0
Xpert Bakers,New Delhi,Bakery,250,0.0,0
Juniper Bar - Andaz Delhi,New Delhi,"North Indian, European",1500,3.0,4
Mcdonald'S,New Delhi,"Fast Food, Burger",500,3.4,48
Pizza Hut Delivery,New Delhi,"Italian, Pizza, Fast Food",800,3.2,51
The Arena,New Delhi,"Continental, Asian, North Indian",1600,3.4,19
Restaurant De Seoul,New Delhi,"Japanese, Korean",2500,3.6,59
Taksim,New Delhi,Continental,1500,3.9,188
Jom Jom Malay,New Delhi,"Malaysian, Indonesian",1800,4.4,77
Kofuku,New Delhi,"Japanese, Asian",1500,4.0,46
The Sky High,New Delhi,"Continental, North Indian, Mughlai, Italian",1400,4.1,387
Haldiram'S,New Delhi,"North Indian, South Indian, Chinese, Mithai, Fast Food",500,3.1,117
Jux Pux - The Dreamer'S Cafe,New Delhi,"Beverages, Fast Food",350,3.1,7
Pizzaon,New Delhi,"Pizza, Fast Food",500,3.0,10
Ffc Restaurant,New Delhi,Fast Food,250,0.0,1
"34, Chowringhee Lane",New Delhi,Fast Food,350,2.8,7
Aapni Dhani,New Delhi,"North Indian, Street Food",200,2.8,23
Bengal Sweet Corner,New Delhi,"North Indian, South Indian, Chinese, Fast Food, Mithai",500,2.8,102
Chicken Vicken,New Delhi,"North Indian, Chinese",600,3.4,19
Cup-A-Licious,New Delhi,Bakery,200,3.2,15
Frontier,New Delhi,Bakery,200,3.0,10
Metro Fast Food,New Delhi,"Chinese, Fast Food",400,2.7,17
Nagpal'S,New Delhi,Street Food,200,3.4,135
Nile Restro & Bar,New Delhi,"North Indian, Chinese",1000,2.7,35
Popular Chicken,New Delhi,"North Indian, Mughlai, Chinese",450,3.0,5
Sardar A Pure Meat Shop,New Delhi,"Raw Meats, Fast Food, North Indian",150,3.4,22
Shankar Fast Food,New Delhi,"Chinese, Fast Food",300,3.2,74
Singh'S Zaika,New Delhi,"North Indian, Chinese, Mughlai",500,3.0,4
The Mirch Masala,New Delhi,"North Indian, Chinese",700,3.0,7
The Mirch Masala,New Delhi,North Indian,650,3.2,22
Uncle Cake Shop,New Delhi,"Bakery, Desserts, Fast Food",300,3.1,9
Kays Bar-Be-Que,New Delhi,"North Indian, Mughlai",700,3.5,191
Master Bakers,New Delhi,"Bakery, Desserts, Chinese, Fast Food",350,3.7,199
The Master'S Fast Food Centre,New Delhi,"Fast Food, Chinese, Bakery",400,3.5,60
6 Pack Momos,New Delhi,Chinese,300,0.0,1
Al Noor Foods,New Delhi,"North Indian, Mughlai",500,0.0,0
Avon Kitchen,New Delhi,"North Indian, Mughlai, Chinese",700,0.0,0
Bhasad Cafe,New Delhi,"Fast Food, Chinese",500,0.0,1
Bikaner Kesarvala,New Delhi,Mithai,100,0.0,2
De Bone Chicken,New Delhi,"Raw Meats, Fast Food",400,0.0,0
Indian Fresh Meat Shop,New Delhi,"Raw Meats, Fast Food",300,0.0,1
Jd'S Food Court,New Delhi,"North Indian, Chinese",550,0.0,3
Keventers,New Delhi,Beverages,400,0.0,3
Malhotra Bakery,New Delhi,"Bakery, Chinese",300,0.0,1
Matthi Wala,New Delhi,"Mithai, Street Food",150,0.0,0
Nirula'S Ice Cream,New Delhi,"Ice Cream, Desserts",250,0.0,0
Punjabi Chaap Corner,New Delhi,"Fast Food, Chinese",400,0.0,1
Puran Dhaba,New Delhi,North Indian,200,0.0,0
Vadapav 'N' Frankie,New Delhi,Fast Food,100,0.0,0
Chhabra Sweets,New Delhi,Mithai,100,2.4,15
Kanwarji'S,New Delhi,"Street Food, Chinese, North Indian, Mithai",300,2.9,29
Pizza Hut,New Delhi,"Italian, Pizza, Fast Food",1000,3.4,35
Sagar Ratna,New Delhi,"South Indian, North Indian, Chinese",600,2.7,278
Smelling Salts,New Delhi,"North Indian, Chinese",1200,3.3,53
Wah Ji Wah,New Delhi,"North Indian, Chinese",350,2.6,142
Wheelyz,New Delhi,"North Indian, Chinese, Fast Food",550,2.5,41
Bell Pepperz,New Delhi,"Chinese, Italian, North Indian",1300,3.9,492
Bharat Sweets,New Delhi,"Mithai, Street Food",250,3.5,28
Invitation,New Delhi,"North Indian, Chinese",1300,3.6,457
Mystique Melange,New Delhi,"North Indian, Mughlai, Chinese, Continental",1800,3.9,173
Pandit Ji Paranthe Wale,New Delhi,North Indian,200,3.7,131
Raju Chat Palace,New Delhi,Street Food,200,3.9,123
Seasonings - The Spice Mysteries,New Delhi,"North Indian, Mughlai, Chinese, Italian",1200,3.9,274
Sgf - Spice Grill Flame,New Delhi,"North Indian, Chinese",500,3.5,87
Apni Rasoi,New Delhi,North Indian,300,3.0,78
Bablu Kabab Shop,New Delhi,"North Indian, Mughlai",500,3.1,10
Cake O' Cuisine,New Delhi,Bakery,300,3.3,26
Domino'S Pizza,New Delhi,"Pizza, Fast Food",700,3.2,101
Hunger Flames,New Delhi,"Pizza, Fast Food, Chinese",500,3.4,17
Puran Chand Ambala Wale Di Hatti,New Delhi,"North Indian, Mughlai",600,3.3,34
The Cake Gallery,New Delhi,Bakery,500,3.3,12
Bablu Chic Inn,New Delhi,"Mughlai, North Indian",750,3.6,34
Masala Basket,New Delhi,"North Indian, South Indian, Street Food",400,3.6,46
Udta Punjab,New Delhi,"North Indian, Mughlai",600,3.5,31
Munch Nation,New Delhi,"Fast Food, Italian, Chinese",350,4.0,96
Bengali Pastry Shop & Snack Bar,New Delhi,"North Indian, South Indian, Chinese",550,3.2,70
Bhimsain'S Bengali Sweet House,New Delhi,"North Indian, South Indian, Chinese, Street Food, Mithai",400,3.4,560
Cafe Coffee Day,New Delhi,Cafe,450,2.9,4
Colonel'S Kababz,New Delhi,"North Indian, Fast Food",600,3.4,38
Faasos,New Delhi,"North Indian, Fast Food",600,2.8,11
Karachi Bakery,New Delhi,"Bakery, Mithai",200,3.0,4
Nathu'S Sweets,New Delhi,"North Indian, South Indian, Street Food, Mithai",600,3.3,421
Sachdeva Confectioners,New Delhi,"North Indian, Chinese",550,3.1,68
Bengali Sweet House,New Delhi,"North Indian, Street Food, Chinese, South Indian, Mithai",400,3.6,85
Bijoli Grill,New Delhi,"Bengali, North Indian, Chinese",800,3.7,343
Nathu'S Pastry Shop,New Delhi,"Bakery, Desserts, Fast Food",300,3.8,120
Balaji Dhaba,New Delhi,North Indian,200,0.0,3
Bhagat Ji,New Delhi,Fast Food,100,0.0,2
Hangout Kathi Rolls,New Delhi,Fast Food,200,0.0,2
Makers & Bakers,New Delhi,"Bakery, Desserts",350,0.0,0
Habibi Express,New Delhi,"Lebanese, Arabian, Moroccan",750,2.3,55
Cafe Coffee Day,New Delhi,Cafe,450,3.2,49
China Town,New Delhi,"Chinese, Fast Food",400,2.9,7
Domino'S Pizza,New Delhi,"Pizza, Fast Food",700,3.3,90
High Street Kitchen & Bar,New Delhi,North Indian,1200,2.9,11
Pizza Hut,New Delhi,"Italian, Pizza, Fast Food",1000,3.1,161
Sugar & Spice - Le Marche,New Delhi,"Bakery, Fast Food",800,3.0,67
The Kathis,New Delhi,"Fast Food, North Indian",300,2.8,23
The Kylin Experience,New Delhi,"Japanese, Chinese, Malaysian, Thai, Vietnamese",1700,3.3,60
Arabian Nites,New Delhi,Lebanese,450,3.5,239
Asia Kitchen,New Delhi,"Chinese, Thai, North Indian",1300,3.7,137
Dunkin' Donuts,New Delhi,"Burger, Desserts, Fast Food",600,3.7,212
Krips Restaurant,New Delhi,"North Indian, Chinese",1000,3.5,193
Mcdonald'S,New Delhi,"Fast Food, Burger",500,3.5,202
Yo! China,New Delhi,Chinese,1300,3.5,332
Rpm,New Delhi,Finger Food,1800,2.4,92
By The Way - Bellagio,New Delhi,"Italian, Continental",1000,2.9,120
Red - Bellagio,New Delhi,Chinese,1500,3.4,137
Soul Curry - Bellagio,New Delhi,"North Indian, Mughlai",1100,3.6,158
Alpha 63,New Delhi,"North Indian, Chinese, Continental",1500,2.7,9
Bite-N-Sip,New Delhi,"North Indian, Street Food",300,2.6,38
Lotus Garden,New Delhi,"Chinese, Japanese, Thai",2000,3.2,59
Meethas Sweets,New Delhi,"Mithai, North Indian",200,2.8,4
Nirula'S,New Delhi,"Fast Food, North Indian, Desserts, Ice Cream",1100,2.5,98
Punjabi Tadka,New Delhi,North Indian,250,2.8,11
Snack Bar,New Delhi,"North Indian, Mughlai",250,3.0,11
South Indian Food,New Delhi,South Indian,150,3.1,14
Domino'S Pizza,New Delhi,"Pizza, Fast Food",700,2.4,71
Southy,New Delhi,South Indian,400,2.4,33
Coffee Shop - Centaur Hotel,New Delhi,Cafe,1500,0.0,2
Al Kuresh,New Delhi,"Chinese, North Indian",850,3.3,85
Angan Bakery & Cafe,New Delhi,"Bakery, Italian, Fast Food, Chinese, Continental",600,2.9,10
Bamboo Chopstix,New Delhi,"Chinese, North Indian",700,2.7,8
Bawarchis,New Delhi,"Chinese, North Indian",700,2.9,16
Bikanervala,New Delhi,"North Indian, South Indian, Fast Food, Street Food, Chinese, Beverages, Desserts, Mithai",450,3.4,113
Cafe Coffee Day,New Delhi,Cafe,450,3.0,4
Chanakya Bar-Be-Que,New Delhi,"Chinese, North Indian",800,3.2,17
Chattisgarh Bhawan,New Delhi,"North Indian, South Indian",450,2.7,33
Chimney,New Delhi,Chinese,800,2.9,66
China Town Sizzlers,New Delhi,Chinese,800,3.4,34
Chinese Bite,New Delhi,"Chinese, North Indian, Seafood",700,2.8,31
Chinese Garden,New Delhi,Chinese,900,3.2,17
Costa Coffee,New Delhi,Cafe,600,3.0,4
Food Point,New Delhi,Fast Food,200,2.8,5
Ikko,New Delhi,"North Indian, Mughlai",1650,2.9,10
Jammu And Kashmir House,New Delhi,"Kashmiri, North Indian",500,2.9,4
Laguna,New Delhi,"Chinese, North Indian",900,3.4,60
Momo Point,New Delhi,"Chinese, North Indian",700,3.2,14
New Zaika,New Delhi,"Chinese, North Indian",700,3.1,10
Organic Express,New Delhi,"Cafe, Healthy Food, North Indian",700,3.0,7
Tamil Nadu House Canteen,New Delhi,"South Indian, Chettinad, North Indian, Chinese",600,3.4,161
The Chocolate Avenue,New Delhi,Bakery,300,3.4,28
Chimney Sizzlers,New Delhi,Chinese,800,3.7,137
Gujarat Bhawan Restaurant,New Delhi,"Gujarati, South Indian, North Indian",400,3.7,203
Itду»S Sinful,New Delhi,"Bakery, Desserts",450,3.5,20
Jakoi,New Delhi,"Assamese, Chinese",600,3.5,218
Arunachal Bhawan,New Delhi,North Eastern,350,0.0,0
Hotel New Tamil Nadu,New Delhi,"South Indian, North Indian, Chinese",300,0.0,1
Milan Food,New Delhi,"Chinese, North Indian",650,0.0,2
Playboy Club,New Delhi,Finger Food,3000,0.0,3
Moti Mahal Delux,New Delhi,"North Indian, Mughlai",1600,2.4,164
The Treat,New Delhi,"North Indian, Mughlai, Chinese",500,2.1,138
Break Fast Point,New Delhi,North Indian,200,3.3,21
Breakfast Corner,New Delhi,North Indian,150,3.1,6
Domino'S Pizza,New Delhi,"Pizza, Fast Food",700,3.0,10
Frontier,New Delhi,Bakery,200,3.2,10
Prince Cafe,New Delhi,"South Indian, Chinese, Fast Food",300,2.9,6
Spicy Eleven,New Delhi,"North Indian, South Indian, Chinese",500,3.1,15
Vaishno Punjabi Dhaba,New Delhi,North Indian,400,3.0,12
Adarsh Bhojnalaya,New Delhi,North Indian,300,3.4,29
Al Haj Bakery,New Delhi,Bakery,150,3.0,9
Anmol Chicken,New Delhi,Mughlai,300,3.1,4
Babu Ram Paranthe Wale,New Delhi,North Indian,150,3.2,225
Bhaijaan Kababs,New Delhi,Mughlai,100,3.2,8
Bhikharam'S,New Delhi,"Mithai, Fast Food",300,3.0,5
Bikanervala,New Delhi,"North Indian, South Indian, Fast Food, Street Food, Chinese, Desserts, Mithai",550,2.8,42
Brijwasi Bhoj,New Delhi,North Indian,200,3.1,16
Brijwasi Restaurant,New Delhi,"North Indian, Fast Food, Chinese, South Indian",400,3.2,39
Comesum,New Delhi,"North Indian, Street Food, Chinese, South Indian",350,2.5,49
Inderpuri Restaurant,New Delhi,North Indian,250,3.0,20
Kamdhenu Family Corner,New Delhi,"North Indian, South Indian",300,2.8,4
Khalsa Hindu Hotel,New Delhi,North Indian,450,2.9,5
Mahalaxmi Mishthan Bhandar,New Delhi,"Mithai, Street Food",100,3.3,16
Mcdonald'S,New Delhi,"Fast Food, Burger",500,3.0,57
Mcdonald'S,New Delhi,"Fast Food, Burger",500,3.0,42
Natraj Cafe,New Delhi,"North Indian, Fast Food, South Indian",300,3.4,21
Padam Chaat Corner,New Delhi,Street Food,100,3.0,4
Pandit Ved Prakash Lemon Wale,New Delhi,"Beverages, Street Food",50,3.2,11
Pt. Babu Ram Devi Dayal Paranthe Wale,New Delhi,North Indian,150,3.0,53
Rabri Bhandar,New Delhi,Mithai,150,3.2,7
Ram Parshad Makhan Lal,New Delhi,Mithai,100,3.4,23
Rambhoj,New Delhi,"North Indian, South Indian",150,2.9,4
Rehmatullah'S Hotel,New Delhi,Mughlai,100,3.0,5
Sharma Bhojnalay,New Delhi,North Indian,100,3.0,9
Shree Balaji Chaat Bhandar,New Delhi,Street Food,100,3.2,16
Shri Duli Chand Naresh Gupta,New Delhi,Desserts,100,3.4,18
Shri Hari Sharnam,New Delhi,"North Indian, South Indian",400,3.1,14
Sindhi Chicken,New Delhi,North Indian,400,2.9,7
Soni Bhojnalaya,New Delhi,North Indian,300,3.0,4
Super Restaurant,New Delhi,North Indian,250,2.9,5
Tiwari Ji Confectioner,New Delhi,Street Food,100,3.1,5
Wah Ji Wah,New Delhi,"North Indian, Chinese",450,2.8,59
Zaika Mughlai Foods,New Delhi,"Mughlai, Biryani",550,3.3,10
Al Yousuf,New Delhi,Mughlai,200,3.7,30
Amritsari Lassi Wala,New Delhi,Beverages,100,3.8,112
Annapurna Bhandar,New Delhi,Mithai,100,3.8,59
Bishan Swaroop Chaat Bhandar,New Delhi,Street Food,150,3.7,40
Gole Hatti,New Delhi,North Indian,150,3.8,116
Haldiram'S,New Delhi,"North Indian, South Indian, Chinese, Street Food, Fast Food, Mithai, Desserts",600,3.9,444
Kanwarji'S,New Delhi,"Street Food, Chinese, North Indian, Mithai",300,3.9,163
Kedarnath Prem Chand Halwai,New Delhi,"Mithai, Street Food",100,3.7,19
Keventers,New Delhi,Beverages,400,3.7,63
Khan Omelette Corner,New Delhi,Fast Food,150,3.6,43
Natraj Dahi Bhalle Wala,New Delhi,Street Food,100,3.9,1487
Old Famous Jalebi Wala,New Delhi,"Mithai, Street Food",100,3.9,752
Pt. Gaya Prasad Shiv Charan Paranthe Wale,New Delhi,North Indian,150,3.6,437
Pt.Kanhaiyalal & Durga Prasad Dixit Paranthe Wale,New Delhi,North Indian,150,3.6,297
Shiv Misthan Bhandar,New Delhi,"Mithai, Street Food",100,3.8,76
Special Jalebi Wala,New Delhi,Mithai,100,3.5,21
Tewari Bros Confectioners,New Delhi,"Street Food, North Indian, South Indian, Mithai",200,3.5,51
Annapurna Chaat & Sweets,New Delhi,Street Food,100,0.0,1
Dessi Food,New Delhi,Street Food,100,0.0,0
Foody Dragon,New Delhi,Chinese,300,0.0,0
Grover Eating Point,New Delhi,North Indian,200,0.0,1
Hotel 121 Shakahari,New Delhi,North Indian,300,0.0,2
Lala Chaap Corner,New Delhi,Fast Food,200,0.0,0
Meghraj & Sons,New Delhi,"Street Food, Mithai",200,0.0,3
Old Kheer Shop,New Delhi,Desserts,100,0.0,3
Punjabi Chicken,New Delhi,North Indian,400,0.0,0
Ratan Singh,New Delhi,Mithai,50,0.0,0
Chaina Ram Sindhi Confectioners,New Delhi,"Mithai, Street Food",200,4.2,382
Giani'S Di Hatti,New Delhi,"Ice Cream, Mithai, North Indian, Street Food",150,4.3,521
Jung Bahadur Kachori Wala,New Delhi,Street Food,50,4.1,405
Lakhori - Haveli Dharampura,New Delhi,"Mughlai, Street Food",3000,4.4,305
Milk N More,New Delhi,"Desserts, Street Food",100,3.1,6
Kuremal Mohan Lal Kulfi Wale,New Delhi,Ice Cream,200,4.5,545
Hira Chaat Corner,New Delhi,Street Food,100,3.6,18
Kuremal Mahavir Prasad Kulfi Wale,New Delhi,Ice Cream,300,3.9,36
Shakahari Restaurant,New Delhi,North Indian,300,3.6,185
Shri Gujrat Namkeen Bhandar,New Delhi,"Street Food, Mithai",100,3.6,27
Standard Sweets,New Delhi,"Mithai, North Indian",200,3.6,31
Sudarshan,New Delhi,"Street Food, Beverages",150,3.7,54
Ustad Moinuddin Kebab,New Delhi,Fast Food,100,3.7,21
Ashok Chaat Corner,New Delhi,Street Food,100,4.1,118
Jain Coffee House,New Delhi,"Fast Food, Beverages",150,4.1,169
Shyam Sweets,New Delhi,"Mithai, Street Food",150,4.1,200
Spicy Food Court,New Delhi,"North Indian, Mughlai, Chinese",500,2.7,23
Aristocrat Sweet Shop,New Delhi,"Mithai, Bakery",300,3.1,7
Balluchi'S - The Royal Cuisine,New Delhi,"North Indian, Mughlai, Chinese",800,3.0,4
Bunty Dhaba,New Delhi,"North Indian, Chinese",500,3.2,26
Gopal'S Restaurant & Caterer'S,New Delhi,"North Indian, Fast Food",300,2.7,22
Horn Please,New Delhi,"North Indian, Mughlai, Chinese",1000,3.0,70
Khatey Raho,New Delhi,"North Indian, Mughlai, Fast Food, South Indian",250,3.3,26
Kolkata Biryani House,New Delhi,"North Indian, Mughlai, Biryani",500,3.4,404
Kolkata Hot Kathi Roll,New Delhi,Fast Food,150,3.2,35
Madly Bangalee,New Delhi,"Mughlai, North Indian, Bengali, Continental",400,2.7,135
Oh! China,New Delhi,"Chinese, Thai",600,2.9,16
Punjabi Zaika,New Delhi,"Chinese, Mughlai, North Indian",500,2.9,39
Rabi Snacks Corner,New Delhi,Fast Food,300,3.4,18
Republic Of Chicken,New Delhi,"Raw Meats, Fast Food",400,2.7,29
Roll N Roast,New Delhi,"North Indian, Chinese",250,3.3,27
Royal Chick 'N',New Delhi,"Mughlai, North Indian, Chinese",300,3.3,18
Royal Kolkata Biryani,New Delhi,"North Indian, Chinese, Biryani",500,2.7,14
Sameer'S Restaurant,New Delhi,"North Indian, Mughlai, Chinese",600,2.5,59
Sanjha Chulha,New Delhi,"North Indian, Mughlai",550,2.7,70
Soya King,New Delhi,North Indian,350,2.6,71
The Mustard,New Delhi,Bengali,500,2.9,7
Tibb'S Frankie,New Delhi,Fast Food,250,3.2,16
Wazwaan Restaurant,New Delhi,"North Indian, Kashmiri",1200,3.2,14
Yummi Kolkataa,New Delhi,Mithai,150,3.2,17
Annapurna Sweet House,New Delhi,"Mithai, Street Food",150,3.7,55
Ashirbad,New Delhi,Fast Food,100,3.6,46
Chocolatiers - The Chocolate Boutique,New Delhi,Desserts,100,3.8,112
Dadu Cutlet Shop,New Delhi,Fast Food,100,3.7,99
Dogs & Wiches,New Delhi,"Continental, American, Fast Food",600,3.9,109
Maa Tara,New Delhi,"Bengali, North Indian",500,3.6,458
My Spice Kitchen,New Delhi,"North Indian, Mughlai, Biryani, Bengali",650,3.5,443
The Singing Tree,New Delhi,Beverages,100,3.7,33
Baba Chicken Ludhiana Wale,New Delhi,North Indian,400,0.0,0
Bengal Snacks,New Delhi,Fast Food,300,0.0,2
Brownies & More,New Delhi,"Bakery, Fast Food",100,0.0,2
Cafe Coffee Day,New Delhi,Cafe,450,0.0,1
Craving Cure,New Delhi,Chinese,300,0.0,2
Cuisine,New Delhi,"North Indian, Mughlai, Chinese",1500,0.0,1
Kamala Fast Food & Chinese,New Delhi,"Fast Food, Chinese",300,0.0,2
Lokenath Sweets,New Delhi,Mithai,150,0.0,2
Chulha Punjabi Da,New Delhi,"North Indian, Chinese, Fast Food",600,2.4,41
Viva Hyderabad,New Delhi,"Biryani, North Indian",600,2.3,38
